com.apple.keylayout.danish	danish
com.apple.keylayout.turkish-qwerty-pc	turkish q
com.apple.keylayout.czech-qwerty	czech - qwerty
com.apple.keylayout.czech	czech
com.apple.keylayout.estonian	estonian
com.apple.keylayout.hungarian-qwerty	hungarian - qwerty
com.apple.keylayout.hungarian	hungarian
com.apple.keylayout.latvian	latvian
com.apple.keylayout.lithuanian	lithuanian
com.apple.keylayout.polishpro	polish
com.apple.keylayout.polish	polish - qwertz
com.apple.keylayout.slovak	slovak
com.apple.keylayout.slovak-qwerty	slovak - qwerty
com.apple.keylayout.bulgarian-phonetic	bulgarian - qwerty
com.apple.keylayout.bulgarian	bulgarian - standard
com.apple.keylayout.byelorussian	belarusian
com.apple.keylayout.macedonian	macedonian
com.apple.keylayout.russian-phonetic	russian - qwerty
com.apple.keylayout.russian	russian
com.apple.keylayout.russianwin	russian - pc
com.apple.keylayout.serbian	serbian
com.apple.keylayout.ukrainian-pc	ukrainian
com.apple.keylayout.ukrainian	ukrainian - legacy
com.apple.keylayout.colemak	colemak
com.apple.keylayout.dvorak-left	dvorak - left-handed
com.apple.keylayout.dvorak-right	dvorak - right-handed
com.apple.keylayout.dvorak	dvorak
com.apple.keylayout.dvorak-qwertycmd	dvorak - qwerty ⌘
com.apple.keylayout.kana	kana
com.apple.keylayout.abc-azerty	abc - azerty
com.apple.keylayout.abc-qwertz	abc - qwertz
com.apple.keylayout.abc	abc
com.apple.keylayout.australian	australian
com.apple.keylayout.austrian	austrian
com.apple.keylayout.belgian	belgian
com.apple.keylayout.brazilian-abnt2	brazilian - abnt2
com.apple.keylayout.brazilian-pro	brazilian
com.apple.keylayout.brazilian	brazilian - legacy
com.apple.keylayout.british-pc	british - pc
com.apple.keylayout.british	british
com.apple.keylayout.canadian-csa	canadian - csa
com.apple.keylayout.canadian	canadian
com.apple.keylayout.canadianfrench-pc	canadian - pc
com.apple.keylayout.dutch	dutch
com.apple.keylayout.finnish	finnish
com.apple.keylayout.french-pc	french - pc
com.apple.keylayout.french-numerical	french - numerical
com.apple.keylayout.french	french
com.apple.keylayout.german	german
com.apple.keylayout.irish	irish
com.apple.keylayout.italian-pro	italian
com.apple.keylayout.italian	italian - qzerty
com.apple.keylayout.norwegian	norwegian
com.apple.keylayout.portuguese	portuguese
com.apple.keylayout.spanish-iso	spanish
com.apple.keylayout.spanish	spanish - legacy
com.apple.keylayout.swedish-pro	swedish
com.apple.keylayout.swedish	swedish - legacy
com.apple.keylayout.swissfrench	swiss french
com.apple.keylayout.swissgerman	swiss german
com.apple.keylayout.tongan	tongan
com.apple.keylayout.us	us
com.apple.keylayout.usinternational-pc	us international - pc
com.apple.keylayout.2sethangul	2-set korean
com.apple.keylayout.abc-india	abc - india
com.apple.keylayout.adlam-qwerty	adlam
com.apple.keylayout.afghandari	afghan dari
com.apple.keylayout.afghanpashto	afghan pashto
com.apple.keylayout.afghanuzbek	afghan uzbek
com.apple.keylayout.akan	akan
com.apple.keylayout.albanian	albanian
com.apple.keylayout.anjal	anjal
com.apple.keylayout.apache	apache
com.apple.keylayout.arabic-azerty	arabic - azerty
com.apple.keylayout.arabic-northafrica	arabic - 123
com.apple.keylayout.arabic-qwerty	arabic - qwerty
com.apple.keylayout.arabic	arabic
com.apple.keylayout.arabicpc	arabic - pc
com.apple.keylayout.armenian-hmqwerty	armenian - hm qwerty
com.apple.keylayout.armenian-westernqwerty	armenian - western qwerty
com.apple.keylayout.assamese	assamese - standard
com.apple.keylayout.azeri	azeri
com.apple.keylayout.bangla-qwerty	bangla - qwerty
com.apple.keylayout.bangla	bangla - standard
com.apple.keylayout.bodo	bodo - standard
com.apple.keylayout.cangjiekeyboard	cangjie
com.apple.keylayout.cherokee-nation	cherokee - nation
com.apple.keylayout.cherokee-qwerty	cherokee - qwerty
com.apple.keylayout.chickasaw	chickasaw
com.apple.keylayout.choctaw	choctaw
com.apple.keylayout.chuvash	chuvash
com.apple.keylayout.croatian	croatian - qwerty
com.apple.keylayout.croatian-pc	croatian - qwertz
com.apple.keylayout.devanagari-qwerty	devanagari - qwerty
com.apple.keylayout.devanagari	hindi - standard
com.apple.keylayout.dhivehi-qwerty	dhivehi
com.apple.keylayout.dogri	dogri - standard
com.apple.keylayout.dzongkha	dzongkha
com.apple.keylayout.faroese	faroese
com.apple.keylayout.finnishextended	finnish - extended
com.apple.keylayout.finnishsami-pc	finnish sámi - pc
