platform,language,country,layout,status,english_name,native_name,klo,klid,apple_id
macOS,hu,Magyarország,qwertz,active,Hungarian,Magyar,m-hu-HU,,com.apple.keylayout.Hungarian
macOS,sv,Sverige,qwerty,active,Swedish – Legacy,Svensk – äldre,m-sv-SE,,com.apple.keylayout.Swedish
macOS,is,Ísland,qwerty,active,Icelandic,Icelandic,m-is-IS,,com.apple.keylayout.Icelandic
macOS,iu,ᑲᓇᑕᒥ,qwerty,active,Inuktitut – Nunavik,Inuktitut – Nunavik,m-iu-CA,,com.apple.keylayout.InuttitutNunavik
macOS,en,Canada,qwerty,active,Canadian,Canadian,m-en-CA,,com.apple.keylayout.Canadian
macOS,sk,Slovensko,qwertz,active,Slovak,Slovenská,m-sk-SK,,com.apple.keylayout.Slovak
macOS,sr,Србија,qwerty,active,Serbian (Latin),Serbian (Latin),m-sr-RS,,com.apple.keylayout.Serbian-Latin
macOS,ar,X,other,active,Arabic – QWERTY,العربية – QWERTY,m-ar-X,,com.apple.keylayout.Arabic-QWERTY
macOS,tr,Türkiye,fgğıod,active,Turkish F – Legacy,Türkçe F - (Eski),m-tr-TR,,com.apple.keylayout.Turkish
macOS,fr,France,azerty,active,French – Numerical,Français – Numérique,m-fr-FR,,com.apple.keylayout.French-numerical
macOS,pt,Portugal,qwerty,active,Portuguese,Portuguese,m-pt-PT,,com.apple.keylayout.Portuguese
macOS,fr,Suisse,qwertz,active,Swiss French,Suisse romand,m-fr-CH,,com.apple.keylayout.SwissFrench
macOS,he,X,other,active,Hebrew – QWERTY,עברית – QWERTY,m-he-X,,com.apple.keylayout.Hebrew-QWERTY
macOS,de,Deutschland,qwertz,active,German,Deutsch,m-de-DE,,com.apple.keylayout.German
macOS,az,Azərbaycan,other,active,Azeri,Azeri,m-az-AZ,,com.apple.keylayout.Azeri
macOS,ru,Россия,other,active,Russian,Русская,m-ru-RU,,com.apple.keylayout.Russian
macOS,no,Norge,qwerty,active,Norwegian – Extended,Norsk – utvidet,m-no-NO,,com.apple.keylayout.NorwegianExtended
macOS,uk,Україна,other,active,Ukrainian,Українська,m-uk-UA,,com.apple.keylayout.Ukrainian-PC
macOS,fo,Føroyar,qwerty,active,Faroese,Faroese,m-fo-FO,,com.apple.keylayout.Faroese
macOS,ro,România,qwerty,active,Romanian,Română,m-ro-RO,,com.apple.keylayout.Romanian
macOS,uz,Afgʻoniston,other,active,Afghan Uzbek,Afghan Uzbek,m-uz-AF,,com.apple.keylayout.AfghanUzbek
macOS,mi,Aotearoa,qwerty,active,Māori,Māori,m-mi-NZ,,com.apple.keylayout.Maori
macOS,pt,Brasil,qwerty,active,Brazilian,Brazilian,m-pt-BR,,com.apple.keylayout.Brazilian-Pro
macOS,et,Eesti,qwerty,active,Estonian,Estonian,m-et-EE,,com.apple.keylayout.Estonian
macOS,iu,ᑲᓇᑕᒥ,qwerty,active,Inuktitut – Nunavut,Inuktitut – Nunavut,m-iu-CA-1,,com.apple.keylayout.Inuktitut-Nunavut
macOS,en,Australia,qwerty,active,Australian,Australian,m-en-AU,,com.apple.keylayout.Australian
macOS,fi,Suomi,qwerty,active,Finnish – Extended,Suomalainen – laajennettu,m-fi-FI,,com.apple.keylayout.FinnishExtended
macOS,fr,France,azerty,active,French,Français,m-fr-FR-1,,com.apple.keylayout.French
macOS,iu,ᑲᓇᑕᒥ,qwerty,active,Inuktitut – QWERTY,Inuktitut – QWERTY,m-iu-CA-2,,com.apple.keylayout.Inuktitut-QWERTY
macOS,nl,België,azerty,active,Belgian,Belgisch,m-nl-BE,,com.apple.keylayout.Belgian
macOS,lt,Lietuva,qwerty,active,Lithuanian,Lithuanian,m-lt-LT,,com.apple.keylayout.Lithuanian
macOS,it,Italia,qwerty,active,Italian,Italiano,m-it-IT,,com.apple.keylayout.Italian-Pro
macOS,bg,България,other,active,Bulgarian – Standard,Bulgarian – Standard,m-bg-BG,,com.apple.keylayout.Bulgarian
