hungarian: ('com.apple.keylayout.Hungarian', 'Display')
swedish: ('com.apple.keylayout.Swedish-Pro', 'Display')
icelandic: ('com.apple.keylayout.Icelandic', 'Display')
inuttitutnunavik: ('com.apple.keylayout.InuttitutNunavik', 'Stem')
canadian: ('com.apple.keylayout.Canadian', 'Display')
slovak: ('com.apple.keylayout.Slovak', 'Display')
serbian-latin: ('com.apple.keylayout.Serbian-Latin', 'Stem')
arabic-qwerty: ('com.apple.keylayout.Arabic-QWERTY', 'Display')
turkish: ('com.apple.keylayout.Turkish', 'Stem')
french-numerical: ('com.apple.keylayout.French-numerical', 'Display')
portuguese: ('com.apple.keylayout.Portuguese', 'Display')
swissfrench: ('com.apple.keylayout.SwissFrench', 'Display')
hebrew-qwerty: ('com.apple.keylayout.Hebrew-QWERTY', 'Display')
german: ('com.apple.keylayout.German', 'Display')
azeri: ('com.apple.keylayout.Azeri', 'Display')
russian: ('com.apple.keylayout.Russian', 'Display')
norwegianextended: ('com.apple.keylayout.NorwegianExtended', 'Stem')
ukrainian: ('com.apple.keylayout.Ukrainian-PC', 'Display')
faroese: ('com.apple.keylayout.Faroese', 'Display')
romanian: ('com.apple.keylayout.Romanian', 'Display')
afghanuzbek: ('com.apple.keylayout.AfghanUzbek', 'Display')
maori: ('com.apple.keylayout.Maori', 'Stem')
brazilian: ('com.apple.keylayout.Brazilian-Pro', 'Display')
estonian: ('com.apple.keylayout.Estonian', 'Display')
inuktitut-nunavut: ('com.apple.keylayout.Inuktitut-Nunavut', 'Display')
australian: ('com.apple.keylayout.Australian', 'Display')
finnishextended: ('com.apple.keylayout.FinnishExtended', 'Stem')
french: ('com.apple.keylayout.French', 'Display')
inuktitut-qwerty: ('com.apple.keylayout.Inuktitut-QWERTY', 'Display')
belgian: ('com.apple.keylayout.Belgian', 'Display')
lithuanian: ('com.apple.keylayout.Lithuanian', 'Display')
italian-pro: ('com.apple.keylayout.Italian-Pro', 'Stem')
bulgarian: ('com.apple.keylayout.Bulgarian', 'Stem')
italian: ('com.apple.keylayout.Italian', 'Display')
