output,base_key,key_code,keyboard_apple_id,opt_alt,shift,ctrl,altGR
a,a,0,com.apple.keylayout.Hungarian,False,False,False,False
s,s,1,com.apple.keylayout.Hungarian,False,False,False,False
d,d,2,com.apple.keylayout.Hungarian,False,False,False,False
f,f,3,com.apple.keylayout.Hungarian,False,False,False,False
h,h,4,com.apple.keylayout.Hungarian,False,False,False,False
g,g,5,com.apple.keylayout.Hungarian,False,False,False,False
y,y,6,com.apple.keylayout.Hungarian,False,False,False,False
x,x,7,com.apple.keylayout.Hungarian,False,False,False,False
c,c,8,com.apple.keylayout.Hungarian,False,False,False,False
v,v,9,com.apple.keylayout.Hungarian,False,False,False,False
0,0,10,com.apple.keylayout.Hungarian,False,False,False,False
b,b,11,com.apple.keylayout.Hungarian,False,False,False,False
q,q,12,com.apple.keylayout.Hungarian,False,False,False,False
w,w,13,com.apple.keylayout.Hungarian,False,False,False,False
e,e,14,com.apple.keylayout.Hungarian,False,False,False,False
r,r,15,com.apple.keylayout.Hungarian,False,False,False,False
z,z,16,com.apple.keylayout.Hungarian,False,False,False,False
t,t,17,com.apple.keylayout.Hungarian,False,False,False,False
1,1,18,com.apple.keylayout.Hungarian,False,False,False,False
2,2,19,com.apple.keylayout.Hungarian,False,False,False,False
3,3,20,com.apple.keylayout.Hungarian,False,False,False,False
4,4,21,com.apple.keylayout.Hungarian,False,False,False,False
6,6,22,com.apple.keylayout.Hungarian,False,False,False,False
5,5,23,com.apple.keylayout.Hungarian,False,False,False,False
ó,ó,24,com.apple.keylayout.Hungarian,False,False,False,False
9,9,25,com.apple.keylayout.Hungarian,False,False,False,False
7,7,26,com.apple.keylayout.Hungarian,False,False,False,False
ü,ü,27,com.apple.keylayout.Hungarian,False,False,False,False
8,8,28,com.apple.keylayout.Hungarian,False,False,False,False
ö,ö,29,com.apple.keylayout.Hungarian,False,False,False,False
ú,ú,30,com.apple.keylayout.Hungarian,False,False,False,False
o,o,31,com.apple.keylayout.Hungarian,False,False,False,False
u,u,32,com.apple.keylayout.Hungarian,False,False,False,False
ő,ő,33,com.apple.keylayout.Hungarian,False,False,False,False
i,i,34,com.apple.keylayout.Hungarian,False,False,False,False
p,p,35,com.apple.keylayout.Hungarian,False,False,False,False
l,l,37,com.apple.keylayout.Hungarian,False,False,False,False
j,j,38,com.apple.keylayout.Hungarian,False,False,False,False
á,á,39,com.apple.keylayout.Hungarian,False,False,False,False
k,k,40,com.apple.keylayout.Hungarian,False,False,False,False
é,é,41,com.apple.keylayout.Hungarian,False,False,False,False
ű,ű,42,com.apple.keylayout.Hungarian,False,False,False,False
",",",",43,com.apple.keylayout.Hungarian,False,False,False,False
-,-,44,com.apple.keylayout.Hungarian,False,False,False,False
n,n,45,com.apple.keylayout.Hungarian,False,False,False,False
m,m,46,com.apple.keylayout.Hungarian,False,False,False,False
.,.,47,com.apple.keylayout.Hungarian,False,False,False,False
 , ,49,com.apple.keylayout.Hungarian,False,False,False,False
í,í,50,com.apple.keylayout.Hungarian,False,False,False,False
A,a,0,com.apple.keylayout.Hungarian,False,True,False,False
S,s,1,com.apple.keylayout.Hungarian,False,True,False,False
D,d,2,com.apple.keylayout.Hungarian,False,True,False,False
F,f,3,com.apple.keylayout.Hungarian,False,True,False,False
H,h,4,com.apple.keylayout.Hungarian,False,True,False,False
G,g,5,com.apple.keylayout.Hungarian,False,True,False,False
Y,y,6,com.apple.keylayout.Hungarian,False,True,False,False
X,x,7,com.apple.keylayout.Hungarian,False,True,False,False
C,c,8,com.apple.keylayout.Hungarian,False,True,False,False
V,v,9,com.apple.keylayout.Hungarian,False,True,False,False
§,0,10,com.apple.keylayout.Hungarian,False,True,False,False
B,b,11,com.apple.keylayout.Hungarian,False,True,False,False
Q,q,12,com.apple.keylayout.Hungarian,False,True,False,False
W,w,13,com.apple.keylayout.Hungarian,False,True,False,False
E,e,14,com.apple.keylayout.Hungarian,False,True,False,False
R,r,15,com.apple.keylayout.Hungarian,False,True,False,False
Z,z,16,com.apple.keylayout.Hungarian,False,True,False,False
T,t,17,com.apple.keylayout.Hungarian,False,True,False,False
',1,18,com.apple.keylayout.Hungarian,False,True,False,False
"""",2,19,com.apple.keylayout.Hungarian,False,True,False,False
+,3,20,com.apple.keylayout.Hungarian,False,True,False,False
!,4,21,com.apple.keylayout.Hungarian,False,True,False,False
/,6,22,com.apple.keylayout.Hungarian,False,True,False,False
%,5,23,com.apple.keylayout.Hungarian,False,True,False,False
Ó,ó,24,com.apple.keylayout.Hungarian,False,True,False,False
),9,25,com.apple.keylayout.Hungarian,False,True,False,False
=,7,26,com.apple.keylayout.Hungarian,False,True,False,False
Ü,ü,27,com.apple.keylayout.Hungarian,False,True,False,False
(,8,28,com.apple.keylayout.Hungarian,False,True,False,False
Ö,ö,29,com.apple.keylayout.Hungarian,False,True,False,False
Ú,ú,30,com.apple.keylayout.Hungarian,False,True,False,False
O,o,31,com.apple.keylayout.Hungarian,False,True,False,False
U,u,32,com.apple.keylayout.Hungarian,False,True,False,False
Ő,ő,33,com.apple.keylayout.Hungarian,False,True,False,False
I,i,34,com.apple.keylayout.Hungarian,False,True,False,False
P,p,35,com.apple.keylayout.Hungarian,False,True,False,False
L,l,37,com.apple.keylayout.Hungarian,False,True,False,False
J,j,38,com.apple.keylayout.Hungarian,False,True,False,False
Á,á,39,com.apple.keylayout.Hungarian,False,True,False,False
K,k,40,com.apple.keylayout.Hungarian,False,True,False,False
É,é,41,com.apple.keylayout.Hungarian,False,True,False,False
Ű,ű,42,com.apple.keylayout.Hungarian,False,True,False,False
?,",",43,com.apple.keylayout.Hungarian,False,True,False,False
_,-,44,com.apple.keylayout.Hungarian,False,True,False,False
N,n,45,com.apple.keylayout.Hungarian,False,True,False,False
M,m,46,com.apple.keylayout.Hungarian,False,True,False,False
:,.,47,com.apple.keylayout.Hungarian,False,True,False,False
 , ,49,com.apple.keylayout.Hungarian,False,True,False,False
Í,í,50,com.apple.keylayout.Hungarian,False,True,False,False
ą,a,0,com.apple.keylayout.Hungarian,True,False,False,False
ß,s,1,com.apple.keylayout.Hungarian,True,False,False,False
∂,d,2,com.apple.keylayout.Hungarian,True,False,False,False
ń,f,3,com.apple.keylayout.Hungarian,True,False,False,False
ķ,h,4,com.apple.keylayout.Hungarian,True,False,False,False
©,g,5,com.apple.keylayout.Hungarian,True,False,False,False
«,y,6,com.apple.keylayout.Hungarian,True,False,False,False
»,x,7,com.apple.keylayout.Hungarian,True,False,False,False
ć,c,8,com.apple.keylayout.Hungarian,True,False,False,False
„,v,9,com.apple.keylayout.Hungarian,True,False,False,False
¬,0,10,com.apple.keylayout.Hungarian,True,False,False,False
