output_char,apple_id,steps
ö,com.apple.keylayout.Hungarian,"[[32, [""option""]], [31, []]]"
ô,com.apple.keylayout.Hungarian,"[[34, [""option""]], [31, []]]"
õ,com.apple.keylayout.Hungarian,"[[45, [""option""]], [31, []]]"
ü,com.apple.keylayout.Hungarian,"[[32, [""option""]], [32, []]]"
Ł,com.apple.keylayout.Hungarian,"[[43, [""option""]], [37, [""shift""]]]"
ł,com.apple.keylayout.Hungarian,"[[43, [""option""]], [37, []]]"
Č,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [8, [""shift""]]]"
č,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [8, []]]"
Ě,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [14, [""shift""]]]"
ě,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [14, []]]"
Ň,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [45, [""shift""]]]"
ň,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [45, []]]"
Ř,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [15, [""shift""]]]"
ř,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [15, []]]"
Š,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [1, [""shift""]]]"
š,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [1, []]]"
Ť,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [17, [""shift""]]]"
Ž,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [16, [""shift""]]]"
ž,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [16, []]]"
¨,com.apple.keylayout.Hungarian,"[[32, [""option""]], [49, []]]"
^,com.apple.keylayout.Hungarian,"[[34, [""option""]], [49, []]]"
–,com.apple.keylayout.Hungarian,"[[43, [""option""]], [49, []]]"
~,com.apple.keylayout.Hungarian,"[[45, [""option""]], [49, []]]"
ˇ,com.apple.keylayout.Hungarian,"[[39, [""option"", ""shift""]], [49, []]]"
Ä,com.apple.keylayout.Hungarian,"[[32, [""option""]], [0, [""shift""]]]"
Ö,com.apple.keylayout.Hungarian,"[[32, [""option""]], [31, [""shift""]]]"
Ô,com.apple.keylayout.Hungarian,"[[34, [""option""]], [31, [""shift""]]]"
Õ,com.apple.keylayout.Hungarian,"[[45, [""option""]], [31, [""shift""]]]"
Ü,com.apple.keylayout.Hungarian,"[[32, [""option""]], [32, [""shift""]]]"
ä,com.apple.keylayout.Hungarian,"[[32, [""option""]], [0, []]]"
´,com.apple.keylayout.Swedish,"[[24, []], [49, []]]"
¨,com.apple.keylayout.Swedish,"[[30, []], [49, []]]"
`,com.apple.keylayout.Swedish,"[[24, [""shift""]], [49, []]]"
^,com.apple.keylayout.Swedish,"[[30, [""shift""]], [49, []]]"
~,com.apple.keylayout.Swedish,"[[30, [""option""]], [49, []]]"
Á,com.apple.keylayout.Swedish,"[[24, []], [0, [""shift""]]]"
Ä,com.apple.keylayout.Swedish,"[[30, []], [0, [""shift""]]]"
À,com.apple.keylayout.Swedish,"[[24, [""shift""]], [0, [""shift""]]]"
Â,com.apple.keylayout.Swedish,"[[30, [""shift""]], [0, [""shift""]]]"
Ã,com.apple.keylayout.Swedish,"[[30, [""option""]], [0, [""shift""]]]"
É,com.apple.keylayout.Swedish,"[[24, []], [14, [""shift""]]]"
Ë,com.apple.keylayout.Swedish,"[[30, []], [14, [""shift""]]]"
È,com.apple.keylayout.Swedish,"[[24, [""shift""]], [14, [""shift""]]]"
Ê,com.apple.keylayout.Swedish,"[[30, [""shift""]], [14, [""shift""]]]"
Í,com.apple.keylayout.Swedish,"[[24, []], [34, [""shift""]]]"
Ï,com.apple.keylayout.Swedish,"[[30, []], [34, [""shift""]]]"
Ì,com.apple.keylayout.Swedish,"[[24, [""shift""]], [34, [""shift""]]]"
Î,com.apple.keylayout.Swedish,"[[30, [""shift""]], [34, [""shift""]]]"
Ñ,com.apple.keylayout.Swedish,"[[30, [""option""]], [45, [""shift""]]]"
Ó,com.apple.keylayout.Swedish,"[[24, []], [31, [""shift""]]]"
Ö,com.apple.keylayout.Swedish,"[[30, []], [31, [""shift""]]]"
Ò,com.apple.keylayout.Swedish,"[[24, [""shift""]], [31, [""shift""]]]"
Ô,com.apple.keylayout.Swedish,"[[30, [""shift""]], [31, [""shift""]]]"
Õ,com.apple.keylayout.Swedish,"[[30, [""option""]], [31, [""shift""]]]"
Ú,com.apple.keylayout.Swedish,"[[24, []], [32, [""shift""]]]"
Ü,com.apple.keylayout.Swedish,"[[30, []], [32, [""shift""]]]"
Ù,com.apple.keylayout.Swedish,"[[24, [""shift""]], [32, [""shift""]]]"
Û,com.apple.keylayout.Swedish,"[[30, [""shift""]], [32, [""shift""]]]"
Ÿ,com.apple.keylayout.Swedish,"[[30, []], [16, [""shift""]]]"
á,com.apple.keylayout.Swedish,"[[24, []], [0, []]]"
ä,com.apple.keylayout.Swedish,"[[30, []], [0, []]]"
à,com.apple.keylayout.Swedish,"[[24, [""shift""]], [0, []]]"
â,com.apple.keylayout.Swedish,"[[30, [""shift""]], [0, []]]"
ã,com.apple.keylayout.Swedish,"[[30, [""option""]], [0, []]]"
é,com.apple.keylayout.Swedish,"[[24, []], [14, []]]"
ë,com.apple.keylayout.Swedish,"[[30, []], [14, []]]"
è,com.apple.keylayout.Swedish,"[[24, [""shift""]], [14, []]]"
ê,com.apple.keylayout.Swedish,"[[30, [""shift""]], [14, []]]"
í,com.apple.keylayout.Swedish,"[[24, []], [34, []]]"
ï,com.apple.keylayout.Swedish,"[[30, []], [34, []]]"
ì,com.apple.keylayout.Swedish,"[[24, [""shift""]], [34, []]]"
î,com.apple.keylayout.Swedish,"[[30, [""shift""]], [34, []]]"
ñ,com.apple.keylayout.Swedish,"[[30, [""option""]], [45, []]]"
ó,com.apple.keylayout.Swedish,"[[24, []], [31, []]]"
ö,com.apple.keylayout.Swedish,"[[30, []], [31, []]]"
ò,com.apple.keylayout.Swedish,"[[24, [""shift""]], [31, []]]"
ô,com.apple.keylayout.Swedish,"[[30, [""shift""]], [31, []]]"
õ,com.apple.keylayout.Swedish,"[[30, [""option""]], [31, []]]"
ú,com.apple.keylayout.Swedish,"[[24, []], [32, []]]"
ü,com.apple.keylayout.Swedish,"[[30, []], [32, []]]"
ù,com.apple.keylayout.Swedish,"[[24, [""shift""]], [32, []]]"
û,com.apple.keylayout.Swedish,"[[30, [""shift""]], [32, []]]"
ÿ,com.apple.keylayout.Swedish,"[[30, []], [16, []]]"
°,com.apple.keylayout.Icelandic,"[[10, []], [49, []]]"
´,com.apple.keylayout.Icelandic,"[[24, []], [49, []]]"
¨,com.apple.keylayout.Icelandic,"[[30, []], [49, []]]"
ˆ,com.apple.keylayout.Icelandic,"[[31, [""option""]], [49, []]]"
`,com.apple.keylayout.Icelandic,"[[24, [""shift""]], [49, []]]"
˜,com.apple.keylayout.Icelandic,"[[45, [""option""]], [49, []]]"
Å,com.apple.keylayout.Icelandic,"[[10, []], [0, [""shift""]]]"
Á,com.apple.keylayout.Icelandic,"[[24, []], [0, [""shift""]]]"
