country,native_name,iso_3166
Hungary,Magyarország,HU
Sweden,Sverige,SE
Iceland,Ísland,IS
Canada,ᑲᓇᑕᒥ,CA
Canada,Canada,CA
Slovakia,Slovensko,SK
Serbia,Србија,RS
Türkiye,Türkiye,TR
France,France,FR
Portugal,Portugal,PT
Switzerland,Suisse,CH
Germany,Deutschland,DE
Azerbaijan,Azərbaycan,AZ
Russia,Россия,RU
Norway,Norge,NO
Ukraine,Україна,UA
Faroe Islands,Føroyar,FO
Romania,România,RO
Afghanistan,Afgʻoniston,AF
New Zealand,Aotearoa,NZ
Brazil,Brasil,BR
Estonia,Eesti,EE
Australia,Australia,AU
Finland,Suomi,FI
Belgium,België,BE
Lithuania,Lietuva,LT
Italy,Italia,IT
Bulgaria,България,BG
Belarus,Беларусь,BY
Afghanistan,افغانستان,AF
Armenia,Հայաստան,AM
Greece,Ελλάδα,GR
Thailand,ไทย,TH
Switzerland,Schweiz,CH
India,ਭਾਰਤ,IN
Austria,Österreich,AT
United States,United States,US
North Macedonia,Северна Македонија,MK
Latvia,Latvija,LV
Slovenia,Slovenija,SI
India,भारत,IN
Ireland,Éire,IE
Iran,ایران,IR
India,ભારત,IN
Denmark,Danmark,DK
Czechia,Česko,CZ
Netherlands,Nederland,NL
Nepal,नेपाल,NP
United States,ᏌᏊ ᎢᏳᎾᎵᏍᏔᏅ ᏍᎦᏚᎩ,US
Poland,Polska,PL
United Kingdom,United Kingdom,GB
Vietnam,Việt Nam,VN
Croatia,Hrvatska,HR
United Kingdom,Y Deyrnas Unedig,GB
United States,ʻAmelika Hui Pū ʻIa,US
