platform,key_code,enum
macOS,0,
macOS,1,
macOS,2,
macOS,3,
macOS,4,
macOS,5,
macOS,6,
macOS,7,
macOS,8,
macOS,9,
macOS,10,iso
macOS,11,
macOS,12,
macOS,13,
macOS,14,
macOS,15,
macOS,16,
macOS,17,
macOS,18,
macOS,19,
macOS,20,
macOS,21,
macOS,22,
macOS,23,
macOS,24,
macOS,25,
macOS,26,
macOS,27,
macOS,28,
macOS,29,
macOS,30,
macOS,31,
macOS,32,
macOS,33,
macOS,34,
macOS,35,
macOS,37,
macOS,38,
macOS,39,
macOS,40,
macOS,41,
macOS,42,
macOS,43,
macOS,44,
macOS,45,
macOS,46,
macOS,47,
macOS,49,
macOS,50,iso_relocate
macOS,53,
macOS,66,
macOS,70,
macOS,72,
macOS,77,
